entityname,subtypename,typename
Forth (programming language),Forth programming language family,Stack-oriented programming languages
Plus (programming language),Pascal programming language family,Statically typed programming languages
Pascal/MT+,Pascal programming language family,Statically typed programming languages
Prospero Pascal,Pascal programming language family,Statically typed programming languages
GNU Pascal,Pascal programming language family,Statically typed programming languages
Concurrent Pascal,Pascal programming language family,Statically typed programming languages
Vector Pascal,Pascal programming language family,Statically typed programming languages
Rapira,Pascal programming language family,Structured programming languages
Pascal/MT+,Pascal programming language family,Structured programming languages
Prospero Pascal,Pascal programming language family,Structured programming languages
GNU Pascal,Pascal programming language family,Structured programming languages
Concurrent Pascal,Pascal programming language family,Structured programming languages
Vector Pascal,Pascal programming language family,Structured programming languages
C++,C++ programming language family,Systems programming languages
C (programming language),C programming language family,Systems programming languages
D (programming language),C programming language family,Systems programming languages
Embedded C,C programming language family,Systems programming languages
Pro*C,C programming language family,Systems programming languages
Stratego/XT,Term-rewriting programming languages,Transformation languages
RascalMPL,Term-rewriting programming languages,Transformation languages
Darwin Information Typing Architecture,Document-centric XML-based standards,XML-based standards
Vector Markup Language,User interface markup languages,XML-based standards
Open XML Paper Specification,Document-centric XML-based standards,XML-based standards
XUL,User interface markup languages,XML-based standards
MXML,User interface markup languages,XML-based standards
MARIA XML,User interface markup languages,XML-based standards
EMML (Motorola),User interface markup languages,XML-based standards
XForms,User interface markup languages,XML-based standards
DisplayML,User interface markup languages,XML-based standards
MusicXML,Industry-specific XML-based standards,XML-based standards
FXML,User interface markup languages,XML-based standards
Extensible Application Markup Language,User interface markup languages,XML-based standards
XML Resource,User interface markup languages,XML-based standards
Enterprise Mashup Markup Language,User interface markup languages,XML-based standards
XFrames,User interface markup languages,XML-based standards

 Performed query in: 1359ms
