entityname,subtypename,typename
Z notation,Z notation,Formal specification languages
Structured English,Structured English,Forms of English
Natural language programming,Structured English,Forms of English
Fortran,Fortran programming language family,Fortran
MiKTeX,TeX SourceForge projects,Free TeX software
Beamer (LaTeX),TeX SourceForge projects,Free TeX software
PGF/TikZ,TeX SourceForge projects,Free TeX software
GNU GRUB,GNU GRUB,Free boot loaders
Helium (Haskell),Free Haskell implementations,Free compilers and interpreters
Yhc,Free Haskell implementations,Free compilers and interpreters
Glasgow Haskell Compiler,Free Haskell implementations,Free compilers and interpreters
QtScript,Qt (framework),Free computer libraries
WxFormBuilder,Software that uses wxWidgets,Free computer libraries
WxFormBuilder,WxWidgets,Free computer libraries
PyQt,Qt (framework),Free computer libraries
Qt (software),Qt (framework),Free computer libraries
Qt (software),S60 (software platform),Free computer libraries
WxWidgets,WxWidgets,Free computer libraries
ThreadWeaver,KDE Frameworks,Free computer libraries
ThreadWeaver,KDE Platform,Free computer libraries
wxWidgets,WxWidgets,Free computer libraries
WxPerl,WxWidgets,Free computer libraries
WxPHP,WxWidgets,Free computer libraries
WxPython,WxWidgets,Free computer libraries
WxGlade,Software that uses wxWidgets,Free computer libraries
WxGlade,WxWidgets,Free computer libraries
Philasmicos Entwickler Studio,Software that uses wxWidgets,Free computer libraries
Philasmicos Entwickler Studio,WxWidgets,Free computer libraries
WxHaskell,WxWidgets,Free computer libraries
WxBasic,Software that uses wxWidgets,Free computer libraries
WxBasic,WxWidgets,Free computer libraries
wxPython,WxWidgets,Free computer libraries
KDE Platform 4,KDE Platform,Free computer libraries
SQLite,Symbian software,Free computer libraries
NetBeans,Free UML tools,Free computer programming tools
TYPO3,TYPO3,Free content management systems
TYPO3 Flow,TYPO3,Free content management systems
PostgreSQL,PostgreSQL,Free database management systems
EnterpriseDB,PostgreSQL,Free database management systems
IceWM,Window managers that use GTK+,Free desktop environments
KDE Software Compilation,KDE Software Compilation,Free desktop environments
K Desktop Environment 3,KDE Software Compilation,Free desktop environments
MATE (software),GNOME,Free desktop environments
Cinnamon (software),GNOME,Free desktop environments
Enlightenment (software),Freedesktop.org,Free desktop environments
Tango Desktop Project,Freedesktop.org,Free desktop environments
Tango Desktop Project,GNOME Theming,Free desktop environments
Tux Paint,GNOME Kids,Free educational software
KGeography,KDE Education Project,Free educational software
KDE Education Project,KDE Education Project,Free educational software
Kiten (program),KDE Education Project,Free educational software
Kig (software),KDE Education Project,Free educational software
Kalzium,KDE Education Project,Free educational software
KVerbos,KDE Education Project,Free educational software
KEduca,KDE Education Project,Free educational software
KHangMan,KDE Education Project,Free educational software
KStars,KDE Education Project,Free educational software
Step (software),KDE Education Project,Free educational software
KTurtle,KDE Education Project,Free educational software
KTouch,KDE Education Project,Free educational software
Cantor (software),KDE Education Project,Free educational software
GCompris,GNOME Kids,Free educational software
Tux Typing,GNOME Kids,Free educational software
"Tux, of Math Command",GNOME Kids,Free educational software
Marble (software),KDE Education Project,Free educational software
Xcas,Free computer algebra systems,Free mathematics software
SymPy,Free computer algebra systems,Free mathematics software
SageMath,Free computer algebra systems,Free mathematics software
Erable,Free computer algebra systems,Free mathematics software
Ilibrarian,Free BibTeX software,Free reference management software
JabRef,Free BibTeX software,Free reference management software
Qiqqa,Free BibTeX software,Free reference management software
Docear,Free BibTeX software,Free reference management software
Refbase,Free BibTeX software,Free reference management software
Referencer,Free BibTeX software,Free reference management software
RefDB,Free BibTeX software,Free reference management software
BibDesk,Free BibTeX software,Free reference management software
Modelio,Free software programmed in Java (programming language),Free software
MySociety,Free software programmed in Ruby,Free software
Diaspora (software),Free software programmed in Ruby,Free software
Ametys CMS,Free software programmed in Java (programming language),Free software
Spark (XMPP client),Free software programmed in Java (programming language),Free software
Fluentd,Free software programmed in Java (programming language),Free software
INGENIAS,Free software programmed in Java (programming language),Free software
Mifos X,Free software programmed in Java (programming language),Free software
Kune (software),Free software programmed in Java (programming language),Free software
Ganymede (software),Free software programmed in Java (programming language),Free software
OpenL Tablets,Free software programmed in Java (programming language),Free software
Job Arranger for Zabbix,Free software programmed in C,Free software
Job Arranger for Zabbix,Free software programmed in C Sharp,Free software
VIPS (software),Free software programmed in C,Free software
OpenFOAM,Free software programmed in C++,Free software
DeSmuME,Free software programmed in C++,Free software
GLAVE (software),Free software programmed in C++,Free software
CrossBridge,Free software programmed in C++,Free software
Hugin (software),Free software programmed in C++,Free software
LibSBML,Free software programmed in C++,Free software
ScummVM,Free software programmed in C++,Free software
OpenBTS,Free software programmed in C++,Free software
VOGL,Free software programmed in C++,Free software
Pyspread,Software that uses wxWidgets,Free software
KDE Software Compilation,KDE Software Compilation,Free software
KDE Software Compilation 4,KDE Software Compilation,Free software
Kdeutils,KDE Software Compilation,Free software
Extragear,KDE Extragear,Free software
Karbon (software),Calligra Suite,Free software
Subtitle Edit,Free software programmed in C Sharp,Free software
Open Library,Free software programmed in Python,Free software
BleachBit,Free software programmed in Python,Free software
GNU Solfege,Free software programmed in Python,Free software
Apache Allura,Free software programmed in Python,Free software
Apache Samza,Free software programmed in Scala,Free software
Apache Kafka,Free software programmed in Scala,Free software
Ldap admin,Free software programmed in Delphi,Free software
Chamilo,Free software programmed in PHP,Free software
BEdita,Free software programmed in PHP,Free software
ProcessWire,PHP frameworks,Free software
ProcessWire,Free software programmed in PHP,Free software
DataViva,Web programming,Free software
Docker (software),Free software programmed in Go,Free software
Gambas,Free software programmed in BASIC,Free software
Igalia,GNOME companies,Free software companies
Openismus,GNOME companies,Free software companies
Red Hat,GNOME companies,Free software companies
Lanedo,GNOME companies,Free software companies
Haiku (operating system),Haiku (operating system),Free software operating systems
GNU GRUB,GNU GRUB,Free software primarily written in assembly language
GNU GRUB,GNU GRUB,Free software programmed in C
Kile,KDE Extragear,Free software programmed in C++
Kile,KDE software,Free software programmed in C++
TaskJuggler,KDE software,Free software programmed in C++
MegaGlest,Software that uses wxWidgets,Free software programmed in C++
LabPlot,KDE software,Free software programmed in C++
Audacity (audio editor),Software that uses wxWidgets,Free software programmed in C++
RapidSVN,Software that uses wxWidgets,Free software programmed in C++
Haiku (operating system),Haiku (operating system),Free software programmed in C++
Rocrail,Software that uses wxWidgets,Free software programmed in C++
KDE Applications,KDE Software Compilation,Free software programmed in C++
Ark (software),KDE Software Compilation,Free software programmed in C++
KAtomic,KDE games,Free software programmed in C++
Kolab,KDE software,Free software programmed in C++
HeeksCAD,Software that uses wxWidgets,Free software programmed in C++
KGeography,KDE Education Project,Free software programmed in C++
KGeography,KDE software,Free software programmed in C++
Rosegarden,KDE software,Free software programmed in C++
KHTML,KDE Frameworks,Free software programmed in C++
KHTML,KDE Platform,Free software programmed in C++
Kdetv,KDE Extragear,Free software programmed in C++
Kdetv,KDE software,Free software programmed in C++
AutoREALM,Software that uses wxWidgets,Free software programmed in C++
KDevelop,KDE software,Free software programmed in C++
Guayadeque Music Player,Software that uses wxWidgets,Free software programmed in C++
Picogen,Software that uses wxWidgets,Free software programmed in C++
Konqueror,KDE software,Free software programmed in C++
Code::Blocks,Software that uses wxWidgets,Free software programmed in C++
SwisTrack,Software that uses wxWidgets,Free software programmed in C++
WebPositive,Haiku (operating system),Free software programmed in C++
KMyMoney,KDE software,Free software programmed in C++
WxFormBuilder,Software that uses wxWidgets,Free software programmed in C++
WxFormBuilder,WxWidgets,Free software programmed in C++
XCHM,Software that uses wxWidgets,Free software programmed in C++
KRename,KDE software,Free software programmed in C++
RKWard,KDE software,Free software programmed in C++
Phonon (software),KDE Frameworks,Free software programmed in C++
Phonon (software),KDE Platform,Free software programmed in C++
Kaffeine,KDE Extragear,Free software programmed in C++
Kolf (video game),KDE games,Free software programmed in C++
Kopete,KDE software,Free software programmed in C++
Cn3D,Software that uses wxWidgets,Free software programmed in C++
KRDC,KDE software,Free software programmed in C++
KRDC,KDE Software Compilation,Free software programmed in C++
KGet,KDE software,Free software programmed in C++
Skyscraper (software),Software that uses wxWidgets,Free software programmed in C++
Konversation,KDE Extragear,Free software programmed in C++
RSIBreak,KDE Extragear,Free software programmed in C++
Trojit??,KDE software,Free software programmed in C++
KMLDonkey,KDE Extragear,Free software programmed in C++
KMLDonkey,KDE software,Free software programmed in C++
KSnapshot,KDE software,Free software programmed in C++
KiCad,Software that uses wxWidgets,Free software programmed in C++
KTorrent,KDE Extragear,Free software programmed in C++
FileZilla,Software that uses wxWidgets,Free software programmed in C++
Krusader,KDE Extragear,Free software programmed in C++
Krusader,KDE software,Free software programmed in C++
PCSX2,Software that uses wxWidgets,Free software programmed in C++
MediaInfo,Software that uses wxWidgets,Free software programmed in C++
KDE System Guard,KDE Software Compilation,Free software programmed in C++
IMule,File sharing software that uses wxWidgets,Free software programmed in C++
CodeLite,Software that uses wxWidgets,Free software programmed in C++
K3b,KDE Extragear,Free software programmed in C++
AMule,File sharing software that uses wxWidgets,Free software programmed in C++
Password Safe,Software that uses wxWidgets,Free software programmed in C++
FreqTweak,Software that uses wxGTK,Free software programmed in C++
Rekonq,KDE Extragear,Free software programmed in C++
Vym (software),Concept- and mind-mapping software that uses Qt,Free software programmed in C++
TortoiseCVS,Software that uses wxWidgets,Free software programmed in C++
Semantik (software),Concept- and mind-mapping software that uses Qt,Free software programmed in C++
KDE Plasma 4,KDE Software Compilation,Free software programmed in C++
KDE Plasma 4,KDE Platform,Free software programmed in C++
Amarok (software),KDE Extragear,Free software programmed in C++
WxWidgets,WxWidgets,Free software programmed in C++
KPhotoAlbum,KDE Extragear,Free software programmed in C++
KPhotoAlbum,KDE software,Free software programmed in C++
Gwenview,KDE Software Compilation,Free software programmed in C++
Capaware,Software that uses wxWidgets,Free software programmed in C++
KDE Partition Manager,KDE Extragear,Free software programmed in C++
KDE Plasma 5,KDE Software Compilation,Free software programmed in C++
KDE Plasma 5,KDE Frameworks,Free software programmed in C++
KBounce,KDE games,Free software programmed in C++
DigiKam,KDE Extragear,Free software programmed in C++
Fityk,Software that uses wxWidgets,Free software programmed in C++
wxWidgets,WxWidgets,Free software programmed in C++
LibreOffice,OpenOffice,Free software programmed in C++
LibreOffice,LibreOffice,Free software programmed in C++
Apache OpenOffice,OpenOffice,Free software programmed in C++
OpenOffice.org,OpenOffice,Free software programmed in C++
Go-oo,OpenOffice,Free software programmed in C++
Marble (software),KDE Education Project,Free software programmed in C++
Apache ZooKeeper,Hadoop,Free software programmed in Java (programming language)
Jumbune,Hadoop,Free software programmed in Java (programming language)
Cascading (software),Hadoop,Free software programmed in Java (programming language)
ND4S,Hadoop,Free software programmed in Java (programming language)
Deeplearning4j,Hadoop,Free software programmed in Java (programming language)
Apache Hive,Hadoop,Free software programmed in Java (programming language)
Apache Hadoop,Hadoop,Free software programmed in Java (programming language)
Pig (programming tool),Hadoop,Free software programmed in Java (programming language)
Laravel,PHP frameworks,Free software programmed in PHP
ImpressPages,PHP frameworks,Free software programmed in PHP
XOOPS,PHP frameworks,Free software programmed in PHP
Kajona,PHP frameworks,Free software programmed in PHP
FuelPHP,PHP frameworks,Free software programmed in PHP
TYPO3,TYPO3,Free software programmed in PHP
TYPO3,PHP frameworks,Free software programmed in PHP
Silex (web framework),PHP frameworks,Free software programmed in PHP
Drupal,PHP frameworks,Free software programmed in PHP
PRADO (framework),PHP frameworks,Free software programmed in PHP
Fat-Free Framework,PHP frameworks,Free software programmed in PHP
CakePHP,PHP frameworks,Free software programmed in PHP
Jamroom,PHP frameworks,Free software programmed in PHP
Lithium (PHP framework),PHP frameworks,Free software programmed in PHP
Symfony,PHP frameworks,Free software programmed in PHP
CodeIgniter,PHP frameworks,Free software programmed in PHP
Apigility,PHP frameworks,Free software programmed in PHP
SilverStripe,PHP frameworks,Free software programmed in PHP
Kohana (framework),PHP frameworks,Free software programmed in PHP
ProcessWire,PHP frameworks,Free software programmed in PHP
TCPDF,TYPO3,Free software programmed in PHP
Hazaar MVC,PHP frameworks,Free software programmed in PHP
Joomla,PHP frameworks,Free software programmed in PHP
GNOME Calculator,GNOME Core Applications,Free software programmed in Vala
GNOME Core Applications,GNOME Core Applications,Free software programmed in Vala
GNOME Videos,GNOME Core Applications,Free software programmed in Vala
GNOME Boxes,GNOME Core Applications,Free software programmed in Vala
Disk Usage Analyzer,GNOME Core Applications,Free software programmed in Vala
Larry Wall,Perl writers,Free software programmers
Larry Wall,Perl people,Free software programmers
Dave Cross,Perl writers,Free software programmers
Dave Cross,Perl people,Free software programmers
Audrey Tang,Perl writers,Free software programmers
Damian Conway,Perl writers,Free software programmers
Havoc Pennington,GNOME developers,Free software programmers
Damien Sandras,GNOME developers,Free software programmers
Behdad Esfahbod,GNOME developers,Free software programmers
Miguel de Icaza,GNOME developers,Free software programmers
Maciej Stachowiak,GNOME developers,Free software programmers
Jeff Waugh,GNOME developers,Free software programmers
Rekonq,Applications using D-Bus,Free software projects
AIGLX,Freedesktop.org,Free software projects
Tango Desktop Project,Freedesktop.org,Free software projects
Tango Desktop Project,GNOME Theming,Free software projects
Portland Project,Freedesktop.org,Free software projects
Bluecurve,GNOME Theming,Free software projects
Nuvola,GNOME Theming,Free software projects
Knitr,Free R (programming language) software,Free statistical software
RKWard,Free R (programming language) software,Free statistical software
Emacs Speaks Statistics,Free R (programming language) software,Free statistical software
LaTeX,Free TeX software,Free typesetting software
Quanta Plus,Free HTML editors,Free web development software
Cairo (graphics),Freedesktop.org libraries,Freedesktop.org
Avahi (software),Applications using D-Bus,Freedesktop.org
Poppler (software),Freedesktop.org libraries,Freedesktop.org
XCB,Freedesktop.org libraries,Freedesktop.org
Galago (software),Applications using D-Bus,Freedesktop.org
Telepathy (software),Applications using D-Bus,Freedesktop.org
HAL (software),Applications using D-Bus,Freedesktop.org
Dependent ML,ML programming language family,Functional languages
Matita,OCaml software,Functional languages
Matita,Free software programmed in OCaml,Functional languages
Coq,OCaml software,Functional languages
Coq,Free software programmed in OCaml,Functional languages
Idris (programming language),Free software programmed in Haskell,Functional languages
Idris (programming language),Haskell programming language family,Functional languages
OBJ3,Common Lisp software,Functional languages
F* (programming language),ML programming language family,Functional languages
Elm (programming language),Haskell programming language family,Functional languages
EuLisp,Lisp programming language family,Functional languages
NewLISP,Lisp programming language family,Functional languages
MultiLisp,Lisp programming language family,Functional languages
Ciao (programming language),Functional logic programming languages,Functional languages
NIL (programming language),Lisp programming language family,Functional languages
Arc (programming language),Lisp programming language family,Functional languages
BBN LISP,Lisp programming language family,Functional languages
Portable Standard Lisp,Lisp programming language family,Functional languages
Lisp (programming language),Lisp (programming language),Functional languages
Lisp (programming language),Lisp programming language family,Functional languages
Logo (programming language),Lisp programming language family,Functional languages
Common Lisp,Lisp (programming language),Functional languages
Common Lisp,Common Lisp,Functional languages
Common Lisp,Lisp programming language family,Functional languages
*Lisp,Common Lisp software,Functional languages
*Lisp,Lisp programming language family,Functional languages
MDL (programming language),Lisp programming language family,Functional languages
Racket (programming language),Scheme (programming language) interpreters,Functional languages
Racket (programming language),Scheme (programming language) implementations,Functional languages
Racket (programming language),R6RS Scheme,Functional languages
Racket (programming language),Scheme (programming language) compilers,Functional languages
Racket (programming language),Lisp programming language family,Functional languages
Clean (programming language),Haskell programming language family,Functional languages
NESL,Common Lisp software,Functional languages
Erlang (programming language),Erlang (programming language),Functional languages
Rust (programming language),Rust (programming language),Functional languages
Quark Framework,Haskell programming language family,Functional languages
LispWorks,Lisp (programming language),Functional languages
LispWorks,Common Lisp software,Functional languages
LispWorks,Common Lisp implementations,Functional languages
LispWorks,Lisp programming language family,Functional languages
Macintosh Common Lisp,Lisp (programming language),Functional languages
Macintosh Common Lisp,Common Lisp software,Functional languages
Macintosh Common Lisp,Common Lisp implementations,Functional languages
Game Oriented Assembly Lisp,Common Lisp software,Functional languages
Game Oriented Assembly Lisp,Lisp programming language family,Functional languages
OPS5,Common Lisp software,Functional languages
Allegro Common Lisp,Common Lisp software,Functional languages
Allegro Common Lisp,Common Lisp implementations,Functional languages
Allegro Common Lisp,Lisp programming language family,Functional languages
Gofer (programming language),Haskell programming language family,Functional languages
Gofer (programming language),Free Haskell implementations,Functional languages
OCaml,ML programming language family,Functional languages
OCaml,OCaml software,Functional languages
CompCert,OCaml software,Functional languages
ML (programming language),ML programming language family,Functional languages
Haskell (programming language),Haskell programming language family,Functional languages
Lazy ML,Haskell programming language family,Functional languages
Lazy ML,ML programming language family,Functional languages
Standard ML,ML programming language family,Functional languages
Clojure,Lisp programming language family,Functional languages
F Sharp (programming language),ML programming language family,Functional languages
Pixie (programming language),Lisp programming language family,Functional languages
Orwell (programming language),Haskell programming language family,Functional languages
Frege (programming language),Haskell programming language family,Functional languages
Interlisp,Lisp programming language family,Functional languages
Mercury (programming language),Functional logic programming languages,Functional languages
Goo (programming language),Lisp programming language family,Functional languages
Ur (programming language),ML programming language family,Functional languages
Timber (programming language),Haskell programming language family,Functional languages
Template Haskell,Haskell programming language family,Functional languages
Hume (programming language),Haskell programming language family,Functional languages
Adenine (programming language),Lisp programming language family,Functional languages
Agda (programming language),Free software programmed in Haskell,Functional languages
Agda (programming language),Haskell programming language family,Functional languages
Wolfram Language,Functional languages,Functional programming
SequenceL,Functional languages,Functional programming
Quark Framework,Haskell programming language family,Functional programming
Quark Framework,Functional languages,Functional programming
Frenetic (programming language),Functional languages,Functional programming
Lout (software),Functional languages,Functional programming
Functional logic programming,Functional logic programming languages,Functional programming
Append,Lisp (programming language),Functional programming
Cons,Lisp (programming language),Functional programming
Keyhole Markup Language,Keyhole Markup Language,GIS file formats
Metacity,Window managers that use GTK+,GNOME
GNOME Keyring,GNOME stubs,GNOME
Avahi (software),Applications using D-Bus,GNOME
Avahi (software),Freedesktop.org,GNOME
Mutter (software),Window managers that use GTK+,GNOME
Mutter (software),Software that uses Clutter,GNOME
Mutter (software),GNOME stubs,GNOME
Seahorse (software),GNOME stubs,GNOME
D-Bus,Freedesktop.org,GNOME
Gnome Basic,GNOME stubs,GNOME
GNOME Shell,Software that uses Clutter,GNOME
BOND,GNOME stubs,GNOME
ORBit,GNOME stubs,GNOME
GNOME Storage,GNOME stubs,GNOME
GNOME Users And Developers European Conference,GNOME stubs,GNOME
Open Collaboration Services,Freedesktop.org,GNOME
Open Collaboration Services,Social Desktop,GNOME
GVFS,Applications using D-Bus,GNOME
GVFS,GNOME stubs,GNOME
OpenDesktop.org,GNOME Theming,GNOME
OpenDesktop.org,Social Desktop,GNOME
GNOME Speech,GNOME stubs,GNOME
Rarian,Freedesktop.org libraries,GNOME
Geany,GNOME Developer Tools,GNOME Applications
Gtranslator,GNOME Developer Tools,GNOME Applications
Sound Juicer,GNOME CD ripping software,GNOME Applications
Grip (software),GNOME CD ripping software,GNOME Applications
PIDA,GNOME Developer Tools,GNOME Applications
Zenity,GNOME Developer Tools,GNOME Applications
Clutter (software),Clutter (software),GNOME libraries
GNOME Screenshot,Graphics software that uses GTK+,GNU Project software
GNOME Screenshot,GNOME Applications,GNU Project software
GNOME Screenshot,GNOME stubs,GNU Project software
Gretl,Science software that uses GTK+,GNU Project software
GIMP,Graphics software that uses GTK+,GNU Project software
GIMP,Applications using D-Bus,GNU Project software
GnuCash,Office software that uses GTK+,GNU Project software
GNU GRUB,GNU GRUB,GNU Project software
PSPP,Science software that uses GTK+,GNU Project software
GNOME,Desktop environments based on GTK+,GNU Project software
GNOME,GNOME,GNU Project software
GTK+,GTK+,GNU Project software
GCompris,Software that was ported from GTK+ to Qt,GNU Project software
GCompris,GNOME Kids,GNU Project software
GCompris,Educational software that uses GTK+,GNU Project software
GNU Health,Software that uses GTK+,GNU Project software
GNU Paint,Graphics software that uses GTK+,GNU Project software
GIO (software),Applications using D-Bus,GTK+
GIO (software),GNOME libraries,GTK+
Cairo (graphics),Freedesktop.org,GTK+
Cairo (graphics),Freedesktop.org libraries,GTK+
Cairo (graphics),GNOME libraries,GTK+
GObject,Freedesktop.org,GTK+
GObject,GNOME libraries,GTK+
GLib,GNOME libraries,GTK+
Pango,Freedesktop.org libraries,GTK+
Pango,GNOME libraries,GTK+
QGtkStyle,GNOME Theming,GTK+
Clutter (software),GNOME libraries,GTK+
Clutter (software),Clutter (software),GTK+
Libart,GNOME libraries,GTK+
Template:GNOME,GNOME,GTK+
Zenity,GNOME Developer Tools,GTK+
Zenity,GNOME Applications,GTK+
GNOME Devhelp,GNOME Developer Tools,GTK+
GNOME Devhelp,Software that uses GTK+,GTK+
GNOME Devhelp,GNOME stubs,GTK+
GTK-Qt,Freedesktop.org,GTK+
Hildon,GNOME Mobile,GTK+
Accessibility Toolkit,GNOME Accessibility,GTK+
Glade Interface Designer,GNOME Developer Tools,GTK+
Glade Interface Designer,Software that uses GTK+,GTK+
SRID,GIS file formats,Geographic information systems
SOSI,GIS file formats,Geographic information systems
Digital Geographic Exchange Standard,GIS file formats,Geographic information systems
Aerodrome mapping database,Geographical databases,Geographic information systems
Barrow Area Information Database,Geographical databases,Geographic information systems
GADM,Geographical databases,Geographic information systems
European Soil Database,Geographical databases,Geographic information systems
WikiMapia,Keyhole Markup Language,Geographic information systems
Bing Maps Platform,Keyhole Markup Language,Geographic information systems
Google Chrome Apps,Google Chrome apps,Google Chrome
Text (Chrome app),Google Chrome apps,Google Chrome
V8 (JavaScript engine),Google Chrome,Google software
Google Chrome,Google Chrome,Google software
Chrome OS,Google Chrome,Google software
Chromium OS,Google Chrome,Google software
Chromium (web browser),Google Chrome,Google software
Crosswalk Project,Google Chrome,Google software
Google Play Books,Google Chrome apps,Google software
Stardog,Resource Description Framework,Graph databases
Stardog,Triplestores,Graph databases
Mulgara (software),Triplestores,Graph databases
User interface modeling,User interface markup languages,Graphical user interfaces
Librsvg,Software that uses Cairo,Graphics libraries
Pygame,Simple DirectMedia Layer,Graphics libraries
Simple DirectMedia Layer,Simple DirectMedia Layer,Graphics libraries
Fyre,Graphics software that uses GTK+,Graphics software
Span and div,HTML tags,HTML
HTML5 Shiv,HTML5,HTML
Marquee element,HTML tags,HTML
Blockquote element,HTML tags,HTML
Table cell,HTML tags,HTML
Canvas element,HTML tags,HTML
Comparison of layout engines (HTML5),HTML5,HTML
Layer element,HTML tags,HTML
Form (HTML),HTML tags,HTML
Meta element,HTML tags,HTML
Blink element,HTML tags,HTML
Use of Ogg formats in HTML5,HTML5,HTML
HTML5 in mobile devices,HTML5,HTML
HTML5,HTML5,HTML
Gwrite,Automated WYSIWYG editors,HTML editors
Gwrite,Free HTML editors,HTML editors
SeaMonkey,Free HTML editors,HTML editors
KompoZer,Automated WYSIWYG editors,HTML editors
KompoZer,Free HTML editors,HTML editors
Bluefish (software),Free HTML editors,HTML editors
Macaw Web Editor,Automated WYSIWYG editors,HTML editors
Webflow,Automated WYSIWYG editors,HTML editors
SystemVerilog,Hardware verification languages,Hardware description languages
SystemVerilog,System description languages,Hardware description languages
SpecC,System description languages,Hardware description languages
SystemC,Hardware verification languages,Hardware description languages
SystemC,System description languages,Hardware description languages
Idris (programming language),Free software programmed in Haskell,Haskell programming language family
Helium (Haskell),Free Haskell implementations,Haskell programming language family
Gofer (programming language),Free Haskell implementations,Haskell programming language family
Agda (programming language),Free software programmed in Haskell,Haskell programming language family
Yesod (web framework),Free software programmed in Haskell,Haskell software
Snap (web framework),Free software programmed in Haskell,Haskell software
CSS frameworks,Responsive web design,Human???computer interaction
Responsive web design,Responsive web design,Human???computer interaction
OpenDocument,OpenOffice,ISO/IEC 26300
OpenDocument,OpenDocument,ISO/IEC 26300
Office Open XML,Office Open XML,ISO/IEC 29500
Works Records System,Spreadsheet software,Incremental computing
Exogenesis: Perils of Rebirth,Ren'Py games and visual novels,Indie video games
This Is Where I Want To Die,Ren'Py games and visual novels,Indie video games
Loren the Amazon Princess,Ren'Py games and visual novels,Indie video games
Analogue: A Hate Story,Ren'Py games and visual novels,Indie video games
Heileen,Ren'Py games and visual novels,Indie video games
The Flower Shop,Ren'Py games and visual novels,Indie video games
Juniper's Knot,Ren'Py games and visual novels,Indie video games
Nicole (video game),Ren'Py games and visual novels,Indie video games
Date Warp,Ren'Py games and visual novels,Indie video games
Bionic Heart,Ren'Py games and visual novels,Indie video games
Sepia Tears ~midwinter's reprise~,Ren'Py games and visual novels,Indie video games
Planet Stronghold,Ren'Py games and visual novels,Indie video games
The Royal Trap,Ren'Py games and visual novels,Indie video games
Tales of Aravorn: Seasons of the Wolf,Ren'Py games and visual novels,Indie video games
"Don't Take It Personally, Babe, It Just Ain't Your Story",Ren'Py games and visual novels,Indie video games
Digital: A Love Story,Ren'Py games and visual novels,Indie video games
Katawa Shoujo,Ren'Py games and visual novels,Indie video games
Roommates (video game),Ren'Py games and visual novels,Indie video games
Tox (protocol),Instant messaging clients that use GTK+,Instant messaging clients for Linux
Ayttm,Instant messaging clients that use GTK+,Instant messaging clients for Linux
Branch (computer science),Machine code,Instruction processing
Basic-256,BASIC interpreters,Interpreters (computing)
Apache Marmotta,Free software programmed in Java (programming language),Java (programming language)
Java (programming language),Java specification requests,Java (programming language)
Java virtual machine,Java specification requests,Java (programming language)
Java Class Library,Java (programming language) libraries,Java (programming language)
Apache Stanbol,Free software programmed in Java (programming language),Java (programming language)
Celtix,Free software programmed in Java (programming language),Java (programming language)
Java compiler,Java specification requests,Java (programming language)
Synth Look and Feel,Java (programming language) libraries,Java (programming language)
Synth Look and Feel,Java APIs,Java (programming language)
Internet Foundation Classes,Java (programming language) libraries,Java (programming language)
Internet Foundation Classes,Java APIs,Java (programming language)
ActiveJDBC,Java specification requests,Java (programming language)
Pluggable look and feel,Java (programming language) libraries,Java (programming language)
Pluggable look and feel,Java APIs,Java (programming language)
Java view technologies and frameworks,Java APIs,Java (programming language)
Apache Harmony,Java (programming language) libraries,Java (programming language)
OpenJDK,Free software programmed in Java (programming language),Java (programming language)
OpenJDK,Java (programming language) libraries,Java (programming language)
Non-blocking I/O (Java),Java specification requests,Java (programming language)
GlassFish Metro,Free software programmed in Java (programming language),Java (programming language)
SwingLabs,Java (programming language) libraries,Java (programming language)
SwingLabs,Java APIs,Java (programming language)
SLF4J,Free software programmed in Java (programming language),Java (programming language)
Swing (Java),Java (programming language) libraries,Java (programming language)
Swing (Java),Java APIs,Java (programming language)
Portal:Java/Selected article,Java specification requests,Java (programming language)
XQuery API for Java,Java API for XML,Java APIs
RichFaces,JavaServer Faces,Java enterprise platform
PrimeFaces,JavaServer Faces,Java enterprise platform
JavaServer Faces,JavaServer Faces,Java enterprise platform
Apache MyFaces,JavaServer Faces,Java enterprise platform
MyFaces Trinidad,JavaServer Faces,Java enterprise platform
Batik (software),Free software programmed in Java (programming language),Java platform
Batik (software),Java (programming language) libraries,Java platform
Kotlin (programming language),Java programming language family,Java platform
Eclipse (software),Free software programmed in Java (programming language),Java platform
Eclipse (software),Java development tools,Java platform
Eclipse (software),Eclipse (software),Java platform
NetBeans,Free software programmed in Java (programming language),Java platform
NetBeans,Java development tools,Java platform
Java (programming language),Java (programming language),Java platform
Java (programming language),Java specification requests,Java platform
AgentSheets,Java (programming language),Java platform
Ateji PX,Java programming language family,Java platform
.properties,Java (programming language),Java platform
Java virtual machine,Java (programming language),Java platform
Java virtual machine,Java platform software,Java platform
Java virtual machine,Java specification requests,Java platform
Web Language,Java (programming language),Java platform
Java Class Library,Java (programming language),Java platform
Java Class Library,Java (programming language) libraries,Java platform
Java Classloader,Java (programming language),Java platform
Java compiler,Java (programming language),Java platform
Java compiler,Java specification requests,Java platform
Synth Look and Feel,Java (programming language),Java platform
Synth Look and Feel,Java (programming language) libraries,Java platform
Synth Look and Feel,Java APIs,Java platform
Internet Foundation Classes,Java (programming language),Java platform
Internet Foundation Classes,Java (programming language) libraries,Java platform
Internet Foundation Classes,Java APIs,Java platform
JavaTest harness,Java (programming language),Java platform
Graal (compiler),Java (programming language),Java platform
Graal (compiler),Java platform software,Java platform
ActiveJDBC,Java (programming language),Java platform
ActiveJDBC,Java specification requests,Java platform
